datetime,avg_soil_moisture
2024-01-01 06:00:00,47.46909523809524
2024-01-01 07:00:00,49.25409523809524
2024-01-01 18:00:00,
2024-01-01 19:00:00,46.38053333333333
2024-01-02 20:00:00,
2024-01-03 06:00:00,49.871952380952386
2024-01-03 07:00:00,49.85223809523809
2024-01-03 19:00:00,44.30790476190476
2024-01-05 06:00:00,41.08166666666666
2024-01-05 07:00:00,35.463497536945816
2024-01-05 19:00:00,39.86790476190476
2024-01-06 06:00:00,40.71203125
2024-01-06 07:00:00,37.85502824858757
2024-01-07 19:00:00,37.12368421052632
2024-01-07 20:00:00,31.96216417910448
2024-01-08 06:00:00,35.809285714285714
2024-01-08 07:00:00,34.3252380952381
2024-01-08 19:00:00,32.29971428571429
2024-01-10 06:00:00,30.85504761904762
2024-01-10 07:00:00,31.06680952380952
2024-01-10 19:00:00,31.152619047619048
2024-01-11 06:00:00,
2024-01-11 07:00:00,
2024-01-12 06:00:00,30.986666666666668
2024-01-12 07:00:00,
2024-01-12 19:00:00,31.67895238095238
2024-01-13 06:00:00,31.793761904761908
2024-01-13 07:00:00,25.622666666666667
2024-01-13 18:00:00,39.73070707070707
2024-01-13 19:00:00,26.999753086419755
2024-01-15 06:00:00,25.507809523809524
2024-01-15 07:00:00,30.17061904761905
2024-01-15 19:00:00,26.604380952380954
2024-01-17 06:00:00,20.10211956521739
2024-01-17 07:00:00,25.642971014492755
2024-01-17 19:00:00,33.75066666666667
2024-01-18 06:00:00,35.972
2024-01-18 07:00:00,41.133476190476195
2024-01-18 19:00:00,
2024-01-19 19:00:00,24.740000000000002
2024-01-19 20:00:00,22.94896551724138
2024-01-20 06:00:00,56.86014285714286
2024-01-20 07:00:00,46.14869565217391
2024-01-20 18:00:00,38.11157142857143
2024-01-20 19:00:00,33.98295238095238
2024-01-22 06:00:00,29.43585714285714
2024-01-22 07:00:00,29.874380952380953
2024-01-22 19:00:00,27.467976190476193
2024-01-23 06:00:00,32.38130434782609
2024-01-23 07:00:00,37.42446808510638
2024-01-24 19:00:00,28.04174157303371
2024-01-24 20:00:00,26.947451923076922
2024-01-25 06:00:00,31.291761904761906
2024-01-25 07:00:00,24.888142857142856
2024-01-25 18:00:00,29.63719047619048
2024-01-25 19:00:00,21.097571428571428
2024-01-27 06:00:00,22.713857142857144
2024-01-27 07:00:00,21.557047619047623
2024-01-27 19:00:00,25.305261904761906
2024-01-29 06:00:00,20.30962962962963
2024-01-29 07:00:00,19.00809523809524
2024-01-29 19:00:00,20.518952380952385
2024-01-29 20:00:00,21.39509523809524
2024-01-30 06:00:00,26.04342857142857
2024-01-30 07:00:00,15.001333333333335
2024-01-30 18:00:00,33.79791666666667
2024-01-30 19:00:00,20.877042253521125
2024-02-01 06:00:00,20.595619047619046
2024-02-01 07:00:00,21.01775119617225
2024-02-01 19:00:00,24.532095238095238
2024-02-03 06:00:00,16.26595238095238
2024-02-03 07:00:00,17.291256038647344
2024-02-03 19:00:00,20.401619047619047
2024-02-04 06:00:00,23.910288461538464
2024-02-04 07:00:00,11.800848484848485
2024-02-05 19:00:00,16.481532258064515
2024-02-05 20:00:00,15.898500000000002
2024-02-06 06:00:00,32.72833333333333
2024-02-06 07:00:00,38.23438095238095
2024-02-06 18:00:00,25.89148936170213
2024-02-06 19:00:00,22.218
2024-02-08 06:00:00,16.72847619047619
2024-02-08 07:00:00,20.304095238095236
2024-02-08 19:00:00,20.249261904761905
2024-02-09 06:00:00,26.519111111111116
2024-02-09 07:00:00,
2024-02-10 06:00:00,19.11111111111111
2024-02-10 19:00:00,21.204809523809526
2024-02-11 06:00:00,26.307523809523808
2024-02-11 07:00:00,16.950904761904763
2024-02-11 18:00:00,19.591444444444445
2024-02-11 19:00:00,15.20904761904762
2024-02-13 06:00:00,11.669809523809523
2024-02-13 07:00:00,14.541857142857143
2024-02-13 19:00:00,14.34757142857143
2024-02-15 06:00:00,12.750259067357513
2024-02-15 07:00:00,19.288600000000002
2024-02-15 19:00:00,16.651304347826088
2024-02-16 06:00:00,18.457476190476193
2024-02-16 07:00:00,11.094047619047618
2024-02-16 19:00:00,17.164166666666667
2024-02-17 20:00:00,19.499666666666666
2024-02-18 06:00:00,16.678428571428572
2024-02-18 07:00:00,9.691809523809523
2024-02-18 18:00:00,21.794428571428572
2024-02-18 19:00:00,10.838666666666667
2024-02-20 06:00:00,7.7407619047619045
2024-02-20 19:00:00,13.938880952380952
2024-02-21 06:00:00,18.215280898876404
2024-02-21 07:00:00,7.917570621468927
2024-02-22 19:00:00,13.007549019607843
2024-02-22 20:00:00,13.338557692307692
2024-02-23 06:00:00,14.692809523809524
2024-02-23 07:00:00,6.13152380952381
2024-02-23 18:00:00,23.760333333333335
2024-02-23 19:00:00,8.848333333333334
2024-02-25 06:00:00,10.063666666666666
2024-02-25 07:00:00,16.43795238095238
2024-02-25 19:00:00,17.126261904761904
2024-02-26 07:00:00,100.0
2024-02-27 06:00:00,
2024-02-27 07:00:00,16.94666666666667
2024-02-27 19:00:00,41.845000000000006
2024-02-27 20:00:00,34.9787619047619
2024-02-28 06:00:00,43.96009523809524
2024-02-28 07:00:00,43.299571428571426
2024-02-28 18:00:00,34.71265306122449
2024-02-28 19:00:00,46.8844
2024-03-01 06:00:00,26.774571428571427
2024-03-01 07:00:00,25.726761904761904
2024-03-01 19:00:00,19.53561904761905
2024-03-03 06:00:00,16.620189873417722
2024-03-03 07:00:00,16.646536585365855
2024-03-03 19:00:00,18.37090476190476
2024-03-04 06:00:00,23.370619047619048
2024-03-04 07:00:00,10.608248587570621
